datetime,Area,Production Type,Generation (MWh)
2025/1/18 16:00,BZN|ES,Wind Onshore,1306.0
2025/1/18 17:00,BZN|ES,Wind Onshore,1282.0
2025/1/18 18:00,BZN|ES,Wind Onshore,1401.0
2025/1/18 19:00,BZN|ES,Wind Onshore,1579.0
2025/1/18 20:00,BZN|ES,Wind Onshore,1682.0
2025/1/18 21:00,BZN|ES,Wind Onshore,1894.0
2025/1/18 22:00,BZN|ES,Wind Onshore,2029.0
2025/1/18 23:00,BZN|ES,Wind Onshore,2197.0
2025/1/19 0:00,BZN|ES,Wind Onshore,2388.0
2025/1/19 1:00,BZN|ES,Wind Onshore,2715.0
2025/1/19 2:00,BZN|ES,Wind Onshore,2999.0
2025/1/19 3:00,BZN|ES,Wind Onshore,3149.0
2025/1/19 4:00,BZN|ES,Wind Onshore,3268.0
2025/1/19 5:00,BZN|ES,Wind Onshore,3496.0
2025/1/19 6:00,BZN|ES,Wind Onshore,3392.0
2025/1/19 7:00,BZN|ES,Wind Onshore,3309.0
2025/1/19 8:00,BZN|ES,Wind Onshore,3120.0
2025/1/19 9:00,BZN|ES,Wind Onshore,3024.0
2025/1/19 10:00,BZN|ES,Wind Onshore,2887.0
2025/1/19 11:00,BZN|ES,Wind Onshore,2904.0
2025/1/19 12:00,BZN|ES,Wind Onshore,3168.0
2025/1/19 13:00,BZN|ES,Wind Onshore,3683.0
2025/1/19 14:00,BZN|ES,Wind Onshore,4417.0
2025/1/19 15:00,BZN|ES,Wind Onshore,5066.0
